algorithm,num_agents,num_actions,score
ff_ippo_tabular_split,4,7,9.00685739517212
ff_ippo_tabular_split,4,8,9.238046264648437
ff_ippo_tabular_split,4,9,9.20048999786377
ff_ippo_tabular_split,4,10,8.187374591827393
ff_ippo_tabular_split,5,2,10.443124961853027
ff_ippo_tabular_split,5,3,9.18042812347412
ff_ippo_tabular_split,5,4,9.085219192504884
ff_ippo_tabular_split,5,5,9.1937894821167
ff_ippo_tabular_split,5,6,7.47111406326294
ff_ippo_tabular_split,5,7,5.862069511413575
ff_ippo_tabular_split,5,8,5.3276951789855955
ff_ippo_tabular_split,5,9,5.504755878448487
ff_ippo_tabular_split,5,10,5.292125606536866
ff_ippo_tabular_split,6,2,9.150590705871583
ff_ippo_tabular_split,6,3,8.9012601852417
ff_ippo_tabular_split,6,4,8.366362857818604
ff_ippo_tabular_split,6,5,5.793219470977784
ff_ippo_tabular_split,6,6,5.381705379486084
ff_ippo_tabular_split,6,7,5.416406726837158
ff_ippo_tabular_split,6,8,5.079170513153076
ff_ippo_tabular_split,6,9,5.31254997253418
ff_ippo_tabular_split,6,10,5.3927614212036135
ff_ippo_tabular_split,7,2,9.402070808410645
ff_ippo_tabular_split,7,3,8.494565391540528
ff_ippo_tabular_split,7,4,5.7048999786376955
ff_ippo_tabular_split,7,5,5.249785137176514
ff_ippo_tabular_split,7,6,5.2453163146972654
ff_ippo_tabular_split,7,7,5.2628203392028805
ff_ippo_tabular_split,7,8,5.3622815132141115
ff_ippo_tabular_split,7,9,5.373814105987549
ff_ippo_tabular_split,7,10,5.215065288543701
ff_ppo_central_tabular,2,2,10.99692497253418
ff_ppo_central_tabular,2,3,10.943680763244629
ff_ppo_central_tabular,2,4,10.957346153259277
ff_ppo_central_tabular,2,5,10.93547534942627
ff_ppo_central_tabular,2,6,10.91825008392334
ff_ppo_central_tabular,2,7,10.852556610107422
ff_ppo_central_tabular,2,8,10.769720077514648
ff_ppo_central_tabular,2,9,10.778467559814453
ff_ppo_central_tabular,2,10,10.759272384643555
ff_ppo_central_tabular,3,2,10.961928558349609
ff_ppo_central_tabular,3,3,10.89521141052246
ff_ppo_central_tabular,3,4,10.702025222778321
ff_ppo_central_tabular,3,5,10.62088451385498
ff_ppo_central_tabular,3,6,10.28783721923828
ff_ppo_central_tabular,3,7,9.920419692993164
ff_ppo_central_tabular,3,8,9.261242866516113
ff_ppo_central_tabular,3,9,8.993544006347657
ff_ppo_central_tabular,3,10,8.635686492919922
ff_ppo_central_tabular,4,2,10.928787422180175
ff_ppo_central_tabular,4,3,10.47931728363037
ff_ppo_central_tabular,4,4,9.75894889831543
ff_ppo_central_tabular,4,5,8.798215103149413
ff_ppo_central_tabular,4,6,8.219416332244872
ff_ppo_central_tabular,4,7,7.773296165466308
ff_ppo_central_tabular,4,8,7.204640960693359
ff_ppo_central_tabular,4,9,6.992603015899658
ff_ppo_central_tabular,4,10,6.781017589569092
ff_ppo_central_tabular,5,2,10.820635795593262
ff_ppo_central_tabular,5,3,9.518812370300292
ff_ppo_central_tabular,5,4,7.80462236404419
ff_ppo_central_tabular,5,5,6.783653640747071
ff_ppo_central_tabular,5,6,6.3207783699035645
ff_ppo_central_tabular,5,7,5.61158332824707
ff_ppo_central_tabular,5,8,5.237227439880371
ff_ppo_central_tabular,5,9,5.00791711807251
ff_ppo_central_tabular,5,10,4.448218202590942
ff_ppo_central_tabular,6,2,10.581227684020996
ff_ppo_central_tabular,6,3,7.963382339477539
ff_ppo_central_tabular,6,4,6.181399726867676
ff_ppo_central_tabular,6,5,4.864705657958984
ff_ppo_central_tabular,6,6,4.182734966278076
ff_ppo_central_tabular,6,7,3.603242301940918
ff_ppo_central_tabular,6,8,3.559662437438965
ff_ppo_central_tabular,6,9,3.261320447921753
ff_ppo_central_tabular,6,10,3.7641204357147218
ff_ppo_central_tabular,7,2,10.046991348266602
ff_ppo_central_tabular,7,3,6.584460258483887
ff_ppo_central_tabular,7,4,4.286665344238282
ff_ppo_central_tabular,7,5,2.877134418487549
ff_ppo_central_tabular,7,6,2.629138946533203
ff_ppo_central_tabular,7,7,2.9345163345336913
ff_ppo_central_tabular,7,8,3.0589078426361085
ff_ppo_central_tabular,7,9,2.799586613972982
