system_name,task,env_name,run_id,episode_return,win_rate,time_series_total,wall_clock_time,critic_lr,ent_coef,max_grad_norm,gae_lambda,ppo_epochs,gamma,decay_scaling_factor,clip_eps,actor_lr,vf_coef,num_minibatches,num_envs,num_updates,num_evaluation
ff_mappo,Climbing-stateless-v0,matrax,CEN-47559,11.0,,1168.28125,29.725,9.039766392413592e-05,0.008119222203987092,1.4323248698218787,0.8102979571402557,8,0.9648534276738627,,0.30043620583205155,0.0001863675281119293,0.5865513205945188,8,8,2440,122
ff_mappo,matrax-4-4-act,generalised-matrax,CEN-47799,9.97030258178711,,1133.7928599119186,32.541,0.00017104332732340689,0.004843432436557982,1.139729145687924,0.7246026573417517,3,0.9012561113649219,,0.07793065334039065,8.625491729117568e-05,1.196186188939469,4,8,2440,122
mat,matrax-6-4-act,generalised-matrax,CEN-46906,9.978004455566406,,1147.4944858551025,139.04,,0.015462880668380238,0.47661813374037204,0.9930300887685911,5,0.9986478157812431,,0.0752690847729892,0.00012440836613206952,0.19051648424977188,2,8,2440,122
ff_mappo,matrax-5-4-act,generalised-matrax,CEN-48064,9.936694145202637,,1155.049647808075,27.966,0.0006767003697818998,0.00550180833507539,0.36058790661271517,0.8576520176567685,7,0.934159065801388,,0.693133880587387,0.00011395136753926602,0.10780918813034417,2,8,2440,122
mat,matrax-7-4-act,generalised-matrax,CEN-46519,9.96800422668457,,1151.0381126403809,143.695,,0.0050342559414004945,0.40088282424639893,0.933384641693166,5,0.9844713557885306,,0.16670673341497877,0.00012585043114563107,0.28368384599570595,2,8,2440,122
ff_mappo,matrax-2-4-act,generalised-matrax,CEN-47529,11.0,,1290.3482381105423,25.649,0.00021314271903095138,0.01153636369672922,0.23279697569570007,0.9919207176542123,3,0.9882339453567278,,0.04580392969527756,9.632370460620356e-05,0.1856172547603958,8,8,2440,122
mat,matrax-4-4-act,generalised-matrax,CEN-46652,11.0,,1279.7896045446396,95.34,,0.00694238773230501,0.29386000584742716,0.8195682688902003,3,0.9508335198698128,,0.3450883164934208,0.0001211930556518717,0.5285512112027293,4,8,2440,122
mat,matrax-5-4-act,generalised-matrax,CEN-46509,9.930877685546875,,1149.3202729225159,116.879,,0.015240455316525708,0.4190066671591006,0.967772194087913,5,0.9904541459172446,,0.19365821812696005,0.00011537953445019757,0.45631562435649625,2,8,2440,122
mat,matrax-2-4-act,generalised-matrax,CEN-46500,11.0,,1289.884693622589,80.239,,0.007213637209789569,0.5031913558882635,0.9144484131012808,4,0.9769482151597807,,0.33526678134690896,0.00010461942103720561,0.6227968709981505,2,8,2440,122
mat,Climbing-stateless-v0,matrax,CEN-46635,11.0,,1284.78125,83.878,,0.023963031283636995,0.844984261946358,0.9899571357396383,4,0.9933944063198232,,0.05295463571054777,0.0003266975301017446,0.4848827110356046,8,8,2440,122
mat,matrax-3-4-act,generalised-matrax,CEN-46721,11.0,,1285.3559086322784,95.939,,0.003728276978475414,5.655873658645325,0.9799182418147672,5,0.9649073758446758,,0.43305195721522116,9.744060400234436e-05,0.46041106323417863,2,8,2440,122
ff_sable,matrax-7-4-act,generalised-matrax,CEN-47497,11.000000953674316,,1169.879632472992,130.889,,0.023702465849120464,2.3015788444490304,0.9658985696796877,3,0.9982794538471829,,0.179373270092982,7.749337639923114e-05,1.0142584519147295,4,8,2440,122
ff_sable,matrax-6-4-act,generalised-matrax,CEN-47091,9.997940063476562,,1153.4496524333954,128.029,,0.013515480181186725,0.569408424815597,0.985933056750727,6,0.998339087720482,,0.040926121807792204,0.00010467158399286854,0.3914881860108247,4,8,2440,122
ff_sable,matrax-5-4-act,generalised-matrax,CEN-47105,11.0,,1255.7380606532097,120.388,,0.0423188740645603,0.2885859036368054,0.9938135071024404,6,0.9940725055943817,,0.23138059220058313,0.0001328719631110302,0.6740435633969323,4,8,2440,122
ff_sable,matrax-4-4-act,generalised-matrax,CEN-46983,11.0,,1230.730051279068,95.197,,0.005772107612080686,0.6146058922010557,0.9731050990753399,2,0.8465092297624889,,0.3522689208474558,0.00010927979873349725,0.16836570326415717,2,8,2440,122
ff_sable,Climbing-stateless-v0,matrax,CEN-47085,11.0,,1282.90625,80.535,,0.007130337306494837,0.11862263027270929,0.9954439410325642,6,0.9995625708010296,,0.21438069396717044,0.00021687716479249088,0.10138471965705455,8,8,2440,122
ff_sable,matrax-3-4-act,generalised-matrax,CEN-46910,11.0,,1282.4245555400848,82.93,,0.003096104705964196,2.256001138401025,0.96873528312134,5,0.9690521599444557,,0.44627202430059776,0.00011470377297532896,0.7057328087547934,2,8,2440,122
ff_ppo_central,matrax-6-4-act,generalised-matrax,CEN-47884,4.914395332336426,,344.03842905163765,111.338,0.00013805445035711795,0.005680619801644909,1.1874322299059274,0.7275732120660909,5,0.7697360921017493,,0.23367388103522252,0.00011478389875009826,0.09680082610113531,8,8,2440,122
ff_sable,matrax-2-4-act,generalised-matrax,CEN-46869,11.0,,1299.4442846775055,72.628,,0.0005774614650473503,0.5807616458009891,0.529933815657146,4,0.9498917539676508,,0.38553657254600715,0.0001497942516706345,0.12069879869338752,2,8,2440,122
ff_ppo_central,matrax-5-4-act,generalised-matrax,CEN-47741,11.0,,1137.4831498861313,68.495,6.699187730357215e-05,0.016701035223868937,0.489522508292392,0.9992797867252354,12,0.8476435766846658,,0.032949857097495344,0.0004416848616843575,0.015994280575121634,8,8,2440,122
ff_ppo_central,matrax-7-4-act,generalised-matrax,CEN-48629,3.981811046600342,,176.61688819527626,338.966,0.00019102691016555041,0.007193148896974206,0.04656967617797787,0.875169716869555,7,0.9920660459541312,,0.3607235681547231,9.475998115183849e-05,0.18111743536566557,2,8,2440,122
ff_ppo_central,matrax-4-4-act,generalised-matrax,CEN-47446,11.0,,1209.716100871563,34.647,0.00035315726856660303,0.017830826314996356,15.834727388467812,0.6795065708378215,7,0.3054523843818763,,0.01731856817589602,0.0009122337470124636,0.042586865843233054,8,8,2440,122
ff_ppo_central,matrax-3-4-act,generalised-matrax,CEN-47362,11.0,,1222.2397241592407,37.337,4.1613484708164105e-05,0.034711639766180635,8.371038159489752,0.14031353994248405,12,0.8527296622465945,,0.6578436823545368,0.0002737353977115705,0.011524185010190606,8,8,2440,122
ff_ppo_central,Climbing-stateless-v0,matrax,CEN-47223,11.0,,1132.40625,25.582,2.4125314965766908e-05,0.019616832521580342,2.552865475353602,0.8658675877868366,9,0.36152597942865583,,0.01033785104252796,0.00036254441516837355,0.039521677943152735,4,8,2440,122
ff_ppo_central,matrax-2-4-act,generalised-matrax,CEN-47267,11.0,,1226.2435417175293,24.9,0.000979410801885456,0.07244168945793972,3.3751837723140636,0.05502326905892736,2,0.1265280939104443,,0.010226801677897954,0.0009474588444281664,0.24051729549404052,8,8,2440,122
ff_ippo_tabular_split,matrax-5-4-act,generalised-matrax,CEN-48632,9.647421836853027,,1025.840490102768,41.225,0.0005558897675223411,0.0024907471459092766,1.8407128248877358,0.11890814851539827,8,0.9629855633440461,,0.021563124013532612,0.00028503667389847463,1.4061654897943319,8,8,2440,122
ff_ippo_tabular_split,matrax-6-4-act,generalised-matrax,CEN-48709,6.158020496368408,,595.1481691300869,42.683,0.00019034908380193992,0.00537641852333145,0.7079526731930954,0.866439079195391,6,0.8938040102501948,,0.05734539452533248,0.00013050074281566307,0.028120883993043577,8,8,2440,122
ff_ippo_tabular_split,matrax-4-4-act,generalised-matrax,CEN-48525,9.974319458007812,,1043.332422465086,37.574,8.168167477188131e-05,0.0046765614287304184,0.9278113450245431,0.8268550161293649,9,0.8786100900996724,,0.011151811930833613,0.00023204474482396486,0.11250208568962015,8,8,2440,122
ff_ippo_tabular_split,matrax-3-4-act,generalised-matrax,CEN-48499,9.797945022583008,,996.7250770926476,34.381,4.300233052552087e-05,0.007399565010249939,3.9378934226943687,0.3997999826183119,7,0.8061038679238905,,0.6370507728852219,0.00013995901009077906,0.18805495457979962,8,8,2440,122
ff_ippo_tabular_split,matrax-2-4-act,generalised-matrax,CEN-48307,9.963700294494629,,1079.041722893715,23.277,0.0003658838889467432,0.014193577085690447,0.05677380561080173,0.9776475038001733,5,0.9832540620046172,,0.013657629784608128,0.00013655760617328367,0.06520889714515402,8,8,2440,122
ff_ippo_tabular_split,matrax-7-4-act,generalised-matrax,CEN-47146,5.669395446777344,,536.057462990284,44.023,0.0001299582526821169,0.0009409778634275935,1.150585087513057,0.9164004490394282,5,0.8542762391304476,,0.19109589400501786,7.192765865020799e-05,0.051248710396075196,8,8,2440,122
ff_ppo_central_tabular,matrax-7-4-act,generalised-matrax,CEN-48687,2.338860511779785,,127.35487395524979,28.883,7.71147425509928e-05,0.01933181564923457,0.30948314701073737,0.9178387789453452,4,0.8741393698330112,,0.14688917109570956,8.117751433818073e-05,1.4727140570015764,8,8,2440,122
ff_ippo_tabular_split,Climbing-stateless-v0,matrax,CEN-48300,6.0,,661.5,22.557,0.0003878721629335364,9.853680153679055e-05,0.31967647248287023,0.9089191164903734,9,0.380582366448322,,0.020671037870331567,0.0005952745713025182,0.012020058541735327,8,8,2440,122
ff_ppo_central_tabular,matrax-6-4-act,generalised-matrax,CEN-48169,4.453093528747559,,273.11813037097454,20.382,4.9167167123035116e-05,0.011435124319640699,5.227855660926182,0.5190882248893042,3,0.9566934380922936,,0.5299001614962192,0.000141658530723703,0.13319293873012075,8,8,2440,122
ff_ppo_central_tabular,matrax-4-4-act,generalised-matrax,CEN-47579,11.0,,1168.6021237373352,19.276,6.444282013193397e-05,0.013664954697959343,12.36358360815817,0.2978547810696886,7,0.9979158584927772,,0.01580640643533671,0.0009685937930519113,0.4088879416334796,8,8,2440,122
ff_ppo_central_tabular,matrax-5-4-act,generalised-matrax,CEN-47952,11.0,,981.021541416645,19.466,8.567369538691288e-05,0.14926072478488972,0.1931859932062335,0.45909161860174347,5,0.5850726097546091,,0.032403151561514756,0.0005947209143301502,0.043411253797943125,8,8,2440,122
ff_ppo_central_tabular,matrax-3-4-act,generalised-matrax,CEN-47560,11.0,,1160.3739824295044,20.928,7.25478110734402e-05,0.01855587733823905,1.1100202951658262,0.9851739143948166,13,0.921947127246774,,0.01924544588257796,0.0002093476139148758,4.835444917915946,8,8,2440,122
ff_ppo_central_tabular,matrax-2-4-act,generalised-matrax,CEN-47379,11.0,,1247.7421612739563,17.395,0.00031038275452863575,0.05604428611561879,0.628441549720324,0.011915275811667231,6,0.7643145025204402,,0.012009589886149087,0.0008260348804468751,1.3165617505183205,4,8,2440,122
ff_ppo_central_tabular,Climbing-stateless-v0,matrax,CEN-47354,11.0,,1114.34375,15.831,3.584704598404175e-05,0.007146832090515342,4.307290361442906,0.7375058453984705,8,0.46595441253596515,,0.01037433258509893,0.00022218219419831525,0.06660478053295278,8,8,2440,122
