trial,status,episode_return,wall_clock_s,num_updates,total_timesteps,seed,actor_lr,critic_lr,ppo_epochs,num_minibatches,gamma,gae_lambda,clip_eps,ent_coef,vf_coef,max_grad_norm,num_updates
21,ok,10.6562,14.1,1190,9748480,832736,0.0005640040403148906,0.0008408012448641634,4,1,0.8256572102522766,0.046338843208357315,0.058562259766850824,0.0027887282652150126,0.32739091498991973,2.3261151499246178,119
22,ok,11.0000,16.3,1190,9748480,199909,0.0007262081126109128,0.0009054124782992254,3,3,0.8912448403239335,0.05531689998022214,0.04492263802938777,0.003660667195734325,0.6955110766538887,2.3246049629449224,119
23,ok,11.0000,16.2,1190,9748480,804899,0.0008352020535843141,0.0009998188533172185,3,3,0.9260441987305684,0.04845391505715798,0.062013206753775425,0.003272892031833292,0.8142805747243278,5.506620389567113,119
24,ok,11.0000,15.2,1200,9830400,7363,0.0009072504532335522,0.0009495098732776767,2,3,0.9340028129202884,0.06222170311962205,0.07885018834841559,0.0022953751310789534,0.7290264298923467,7.3464653806262,120
25,ok,11.0000,16.2,1190,9748480,796842,0.00073937218037145,0.0008631038447848878,3,3,0.9375869457835924,0.027367565274763073,0.04030572159585299,0.006515724274051878,1.1223678491888245,8.095681825950976,119
26,ok,11.0000,16.3,1200,9830400,786924,0.0009906688920039565,0.0009763106397299358,3,3,0.9294798768105685,0.05079365894959576,0.04248379789960796,0.003848803314739618,0.5156424931543431,9.181988806515136,120
27,ok,11.0000,18.6,1200,9830400,780364,0.0007304022579317401,0.0009017605625506816,4,3,0.9417072870814258,0.03256170578525093,0.06362341531533858,0.003430782910302137,0.5738170469052627,4.60772298462648,120
28,ok,11.0000,15.0,1190,9748480,664851,0.0009291462895162974,0.0009666920414399392,2,3,0.9225844153766549,0.03354264212103732,0.11165126930257838,0.003075088224182552,0.6327929089508144,4.891165470051894,119
29,ok,10.7500,13.9,1190,9748480,471567,0.000875166630065953,0.0008160700293627662,1,3,0.9404031067099531,0.04243223002795645,0.08376311118023687,0.004148880147326559,0.4244322949521759,3.610210698822126,119
30,ok,11.0000,15.0,1190,9748480,705165,0.0007686444544164765,0.0008913170909888746,2,3,0.9134022684299908,0.026458430914847477,0.11737037981625334,0.0033512719019802802,1.240955473348308,3.0133118521214572,119
31,ok,11.0000,16.2,1190,9748480,277122,0.0009737188992740888,0.000925905792507314,3,3,0.8740866475663276,0.03525817228306479,0.13856621180303513,0.005089708782320135,0.46342352260166386,7.687993329033706,119
32,ok,11.0000,16.2,1190,9748480,780729,0.0009901088781706774,0.0009324508514555318,3,3,0.8587764933889809,0.03328766800453386,0.0977485928469986,0.007524608645781458,0.3275718190279496,10.766293774173233,119
33,ok,11.0000,17.4,1190,9748480,555647,0.0009402776454728603,0.0009531955472701389,4,3,0.7947000924986082,0.03068118933789816,0.09109477998080297,0.008947837574361132,0.44386626874997276,8.59121196670004,119
34,ok,11.0000,16.3,1190,9748480,458916,0.000984065736774679,0.0009497408200016747,3,3,0.9014463138302612,0.02528531477426452,0.09957859541731524,0.00614291721228694,0.2676598789569022,7.29798738474711,119
35,ok,11.0000,16.4,1200,9830400,505606,0.0008487556953031543,0.0008925368070145855,3,3,0.8626773915869982,0.038338104575452045,0.15063365948851162,0.011208098439247352,0.3135450739702768,16.636366828071377,120
36,ok,11.0000,16.2,1190,9748480,568741,0.0008278221456366212,0.0009189439491061942,3,3,0.834983303240912,0.029659536707044704,0.054527341209952576,0.011675975287303065,0.2295463970757284,11.513810999468753,119
37,ok,11.0000,16.1,1180,9666560,37263,0.0008405331083224653,0.0008591866391502505,3,3,0.8274749193972075,0.024346991740930746,0.06554519404852766,0.007261646585484323,0.3791246756778112,8.166256330606737,118
38,ok,11.0000,17.4,1190,9748480,139797,0.0009013245310040368,0.0009202231935178456,4,3,0.8712145011605352,0.026971997173283926,0.05727513228765872,0.005619018887880511,0.3830237967045955,13.041505109870531,119
39,ok,11.0000,16.2,1190,9748480,245481,0.0008484710481392949,0.0008842662155842956,3,3,0.8681493113098218,0.01951660999708614,0.09654572930524624,0.011602774287930355,0.47192418278029313,9.733171332494486,119
40,ok,11.0000,15.0,1190,9748480,114530,0.00091796174541914,0.00081486936310473,2,3,0.7504064995817669,0.024683071341278368,0.1212974296450579,0.008453035287571646,0.5013800622210881,13.79178325324922,119
