system_name,task,env_name,run_id,episode_return,win_rate,time_series_total,ppo_epochs,max_grad_norm,ent_coef,critic_lr,num_minibatches,clip_eps,actor_lr,recurrent_chunk_size,num_envs,num_updates,num_evaluation
rec_ppo_central,ant_4x2,mabrax,CEN-35318,3964.4755859375,,340850.69923591614,4,0.5,0.0,0.0005,4,0.2,0.0005,16.0,64,1220,122
rec_ppo_central,medium-6ag,rware,CEN-35554,0.0,,0.75,2,10.0,0.01,0.00025,2,0.1,0.0005,128.0,64,1220,122
rec_ppo_central,tiny-4ag-hard,rware,CEN-35587,0.0,,2.09375,4,10.0,1e-05,0.0001,4,0.1,0.0001,16.0,64,1220,122
rec_ppo_central,small-4ag-hard,rware,CEN-35543,0.03125,,0.78125,2,10.0,0.01,0.0001,4,0.2,0.0005,128.0,64,1220,122
rec_ppo_central,small-4ag,rware,CEN-35718,0.0,,1.9375,2,0.5,1e-05,0.0005,8,0.05,0.00025,32.0,64,1220,122
rec_ppo_central,tiny-4ag,rware,CEN-35526,1.875,,79.28125,2,5.0,1e-05,0.0001,8,0.2,0.00025,16.0,64,1220,122
rec_ppo_central,tiny-2ag,rware,CEN-35520,11.1875,,940.1875,4,0.5,0.0,0.0005,4,0.1,0.0005,128.0,64,1220,122
rec_ppo_central,hopper_3x1,mabrax,CEN-35423,2090.82861328125,,200093.84176635742,8,5.0,0.01,0.00025,4,0.2,0.0001,64.0,64,1220,122
rec_ppo_central,tiny-2ag-hard,rware,CEN-35717,10.75,,583.90625,8,0.5,0.01,0.0005,2,0.1,0.0005,128.0,64,1220,122
rec_ppo_central,2s-10x10-3p-3f,lbf,CEN-35205,1.0,,105.53545492887497,4,0.5,0.01,0.0005,4,0.1,0.0005,128.0,64,1220,122
rec_ppo_central,walker2d_2x3,mabrax,CEN-35441,1167.4619140625,,132513.77011108398,4,0.5,1e-05,0.0005,8,0.2,0.00025,32.0,64,1220,122
rec_ppo_central,2s-8x8-2p-2f-coop,lbf,CEN-35419,1.0,,119.671875,4,10.0,0.0,0.00025,4,0.1,0.0005,128.0,64,1220,122
rec_ppo_central,15x15-4p-3f,lbf,CEN-35291,0.9722222089767456,,73.69088278710842,8,0.5,0.01,0.0005,2,0.1,0.00025,64.0,64,1220,122
rec_ppo_central,3s_vs_5z,smax,CEN-35352,1.999999761581421,,167.79847751557827,4,10.0,1e-05,0.0005,8,0.1,0.0005,128.0,64,1220,122
rec_ppo_central,8x8-2p-2f-coop,lbf,CEN-35400,1.0,,119.625,4,10.0,0.0,0.00025,4,0.1,0.0005,128.0,64,1220,122
rec_ppo_central,15x15-3p-5f,lbf,CEN-35071,1.0,,79.8955163359642,2,0.5,0.01,0.0005,4,0.1,0.0005,128.0,64,1220,122
